enterprise_id,years,roe_%,roe_%_adjusted_to_book_value,roa_%,return-on-tangible-equity,return-on-tangible-asset,roc_(joel_greenblatt)_%,roce_%,5-year_rore_%,1-year_roiic_%,roic_%,wacc_%,effective_interest_rate_on_debt_%,gross_margin_%,operating_margin_%,net_margin_%,ebitda_margin_%,fcf_margin_%,debt-to-equity,equity-to-asset,debt-to-asset,liabilities-to-assets,gross-profit-to-asset_%,degree_of_financial_leverage,asset_turnover,dividend_payout_ratio,days_sales_outstanding,days_payable,days_inventory,cash_conversion_cycle,receivables_turnover,inventory_turnover,cogs-to-revenue,inventory-to-revenue,capex-to-revenue,capex-to-operating-income,capex-to-operating-cash-flow
1,2004,5.721,1.93,3.579,5.851,3.629,54.22,7.57,-46.43,7435.76,12.44,11.66,0.99,27.262,4.059,3.213,6.317,9.156,0,0.631,0,0.369,30.367,0.22,1.114,0,33.95,78.95,4.76,-40.24,10.75,76.71,0.73,0.009,0.021,0.524,0.188
1,2005,21.241,3.53,13.575,21.574,13.71,215.62,24.47,78.38,256.71,56.63,11,-,29.014,11.794,9.533,13.079,16.331,0,0.645,0,0.355,41.317,1.05,1.424,0,21.86,59.61,4.91,-32.84,16.69,74.35,0.71,0.01,0.019,0.158,0.103
1,2006,22.846,3.47,13.851,23.21,13.983,233.84,26.11,49.04,21.32,48.78,16.4,-,28.983,12.7,10.298,13.865,7.947,0,0.58,0,0.42,38.982,0.96,1.345,0,20.29,68.77,5.79,-42.69,17.99,63.07,0.71,0.011,0.035,0.279,0.309
1,2007,28.512,3.1,16.427,29.123,16.628,283.14,32.85,46.6,70.23,53.63,17.85,-,33.168,17.931,14.22,19.22,18.244,0,0.573,0,0.427,38.315,0.91,1.155,0,21.45,92.88,6.84,-64.59,17.01,53.33,0.67,0.013,0.04,0.224,0.18
1,2008,33.229,7.34,19.893,33.994,20.165,388.48,40.74,43.34,68.8,66.24,21.37,-,35.2,22.211,16.321,23.534,22.397,0,0.616,0,0.384,42.905,0.82,1.219,0,19.76,78.8,6.42,-52.62,18.47,56.83,0.65,0.011,0.032,0.144,0.125
1,2009,30.536,5.79,19.684,31.08,19.909,434.09,38.62,28.85,23.21,51.72,12.25,-,40.14,27.363,19.194,29.074,20.851,0,0.666,0,0.334,41.166,0.83,1.026,0,24.6,79.02,6.85,-47.57,14.84,53.28,0.6,0.011,0.028,0.103,0.119
1,2010,35.283,6.49,22.844,35.979,23.134,476.17,40.65,35.49,28.89,45.31,10.87,-,39.378,28.187,21.484,29.762,25.257,0,0.636,0,0.364,41.87,1.18,1.063,0,24.82,81.31,6.95,-49.54,14.71,52.51,0.61,0.012,0.033,0.115,0.114
1,2011,41.673,9,27.065,43.606,27.867,545.32,47.89,38.48,28.63,41.78,7.08,-,40.479,31.215,23.947,33.274,27.785,0,0.658,0,0.342,45.75,0.96,1.13,0,18.34,75.48,5.17,-51.97,19.9,70.53,0.6,0.008,0.069,0.221,0.199
1,2012,42.842,8.08,28.542,45.109,29.53,480.12,49.36,37.63,31.5,38.74,6.81,-,43.871,35.296,26.665,37.723,26.487,0,0.671,0,0.329,46.959,0.94,1.07,0.06,19.01,74.39,3.26,-52.12,19.2,112.12,0.56,0.005,0.06,0.17,0.185
1,2013,30.64,8.83,19.337,32.116,19.915,313.84,33.43,26.13,-28.89,25.73,5.91,0.8,37.624,28.67,21.671,33.379,26.09,0.137,0.597,0.082,0.403,33.574,1.02,0.892,0.287,25.66,74.54,4.37,-44.51,14.22,83.45,0.62,0.007,0.053,0.185,0.169
1,2014,33.612,6.34,18.007,35.823,18.623,289.44,32.48,20.62,9.1,23.67,8.47,1.47,38.588,28.722,21.614,33.816,27.298,0.316,0.481,0.152,0.519,32.147,1.91,0.833,0.281,30.51,85.45,6.3,-48.64,11.96,57.94,0.61,0.011,0.054,0.187,0.164
1,2015,46.248,8.96,20.45,50.104,21.171,339.94,38.74,20.38,31.92,26.29,8.07,1.47,40.06,30.477,22.846,36.157,29.856,0.539,0.411,0.222,0.589,35.859,1.19,0.895,0.215,26.79,85.57,5.81,-52.97,13.62,62.82,0.6,0.01,0.049,0.161,0.141
1,2016,36.903,7.85,14.93,39.732,15.372,253.95,27.77,7.04,-57.11,19.62,9.84,1.92,39.076,27.835,21.187,34.007,24.809,0.679,0.399,0.271,0.601,27.536,0.69,0.705,0.262,27.59,101.11,6.22,-67.3,13.23,58.64,0.61,0.01,0.059,0.212,0.192
1,2017,36.868,6.26,13.874,38.12,14.048,218.49,25.68,12.31,2.32,17.21,9.67,2.29,38.47,26.76,21.092,33.402,22.586,0.863,0.357,0.308,0.643,25.304,1.9,0.658,0.261,26.77,105.5,9.04,-69.69,13.63,40.37,0.62,0.015,0.054,0.203,0.194
1,2018,49.364,4.93,16.067,49.364,16.067,202.81,29.05,16.07,-131.73,19.37,9.84,2.82,38.344,26.694,22.414,32.774,24.142,1.068,0.293,0.313,0.707,27.485,2.01,0.717,0.228,28.21,111.59,9.82,-73.56,12.94,37.17,0.62,0.017,0.05,0.188,0.172
1,2019,55.917,5.08,15.692,55.917,15.692,176.19,28.73,6.95,7.01,20.29,7.72,3.21,37.818,24.572,21.238,31.464,22.637,1.194,0.267,0.319,0.733,27.943,0.04,0.739,0.253,32.35,115.2,9.09,-73.76,11.28,40.13,0.62,0.015,0.04,0.164,0.151
1,2020,73.686,2.45,17.334,73.686,17.334,188.72,31.01,11.79,36.86,23.71,8.04,2.61,38.233,24.147,20.914,29.514,26.725,1.721,0.202,0.347,0.798,31.689,11.11,0.829,0.242,25.96,95.29,8.79,-60.54,14.06,41.52,0.62,0.015,0.027,0.11,0.091
1,2021,147.443,4,28.058,147.443,28.058,293.55,50.38,24.69,86.52,35.63,8.85,2.23,41.779,29.782,25.882,33.661,25.41,1.977,0.18,0.355,0.82,45.292,1.19,1.084,0.152,21.15,83.17,9.12,-52.9,17.26,40.03,0.58,0.015,0.03,0.102,0.107
1,2022,175.459,4.03,28.363,175.459,28.363,299.26,57.52,18.53,27.69,33.69,11.19,2.39,43.31,30.289,25.31,33.763,28.262,2.37,0.144,0.34,0.856,48.534,0.98,1.121,0.147,25.21,97.05,9.41,-62.43,14.48,38.79,0.57,0.015,0.027,0.09,0.088
1,2023,171.95,4.01,27.503,171.95,27.503,274.18,57.96,15.91,16.85,32.55,11.66,3.4,44.131,29.821,25.306,33.706,25.982,1.788,0.176,0.315,0.824,47.962,-0.09,1.087,0.153,27.47,108,9.61,-70.92,13.29,37.98,0.56,0.015,0.029,0.096,0.099
