,enterprise_id,years,revenue,cost_of_goods_sold,gross_profit,gross_margin_%,"selling,_general,_&_admin._expense",research_&_development,other_operating_expense,total_operating_expense,operating_income,operating_margin_%,interest_income,interest_expense,net_interest_income,other_income_(expense),pretax_income,tax_provision,tax_rate_%,other_net_income_(loss),net_income_including_noncontrolling_interests,net_income_(continuing_operations),net_income_(discontinued_operations),other_income_(minority_interest),net_income,net_margin_%,preferred_dividends,eps_(basic),eps_(diluted),shares_outstanding_(diluted_average),ebit,"depreciation,_depletion_and_amortization",ebitda,ebitda_margin_%,net_interest_income_(for_banks),non_interest_income,credit_losses_provision,other_noninterest_expense,total_noninterest_expense,special_charges
38,2,2018,28216.0,7042.0,21174.0,75.043,6295.0,5007.0,0.0,11302.0,9872.0,34.987,146.0,-1150.0,-1004.0,-1141.0,7727.0,-2418.0,31.29,0.0,5309.0,5309.0,0.0,0.0,5309.0,18.816,0.0,3.31,3.3,1603.0,8877.0,1501.0,10378.0,36.781,,,,,,
39,2,2019,32753.0,7718.0,25035.0,76.436,7399.0,10329.0,500.0,18228.0,6807.0,20.783,204.0,-1348.0,-1144.0,-466.0,5197.0,490.0,-9.43,0.0,5687.0,5687.0,0.0,0.0,5687.0,17.363,0.0,3.67,3.66,1546.0,6545.0,1765.0,8310.0,25.372,,,,,,
40,2,2020,33266.0,7439.0,25827.0,77.638,6942.0,6407.0,-890.0,12459.0,13368.0,40.185,275.0,-1784.0,-1509.0,-3433.0,8426.0,-544.0,6.46,0.0,7882.0,7882.0,0.0,0.0,7882.0,23.694,0.0,5.3,5.28,1484.0,10210.0,2017.0,12227.0,36.755,,,,,,
41,2,2021,45804.0,15387.0,30417.0,66.407,11299.0,6379.0,0.0,17678.0,12739.0,27.812,174.0,-2454.0,-2280.0,-7061.0,3398.0,1224.0,-36.02,0.0,4622.0,4622.0,0.0,-6.0,4616.0,10.078,0.0,2.73,2.72,1673.0,5852.0,6471.0,12323.0,26.904,,,,,,
42,2,2022,56197.0,17446.0,38751.0,68.956,12349.0,6922.0,432.0,19703.0,19048.0,33.895,39.0,-2423.0,-2384.0,-3675.0,12989.0,-1440.0,11.09,0.0,11549.0,11549.0,0.0,-7.0,11542.0,20.539,0.0,6.48,6.45,1777.0,15412.0,8521.0,23933.0,42.588,,,,,,
43,2,2023,58054.0,17414.0,40640.0,70.004,15260.0,6510.0,56.0,21826.0,18814.0,32.408,186.0,-2230.0,-2044.0,-3293.0,13477.0,-1632.0,12.11,0.0,11845.0,11845.0,0.0,-9.0,11836.0,20.388,0.0,6.65,6.63,1778.0,15707.0,8467.0,24174.0,41.641,,,,,,
44,3,1994,8407.843,3684.727,4723.116,56.175,1988.176,880.974,-70.0,2799.15,1923.966,22.883,0.0,0.0,0.0,19.264,1943.23,-544.104,28.0,0.0,1399.126,1399.126,0.0,0.0,1399.126,16.641,0.0,0.85,0.85,1657.976,1923.966,484.081,2408.047,28.641,,,,,,
45,3,1995,9156.009,3993.831,5162.178,56.38,2054.455,963.516,0.0,3017.971,2144.207,23.419,0.0,0.0,0.0,22.483,2166.69,-650.007,30.0,0.0,1516.683,1516.683,0.0,0.0,1516.683,16.565,0.0,0.935,0.935,1624.472,2144.207,510.504,2654.711,28.994,,,,,,
46,3,1996,10012.194,4325.805,5686.389,56.795,2230.74,1072.745,0.0,3303.485,2382.904,23.8,0.0,0.0,0.0,12.415,2395.319,-706.619,29.5,0.0,1688.7,1688.7,0.0,0.0,1688.7,16.866,0.0,1.06,1.06,1594.642,2382.904,566.423,2949.327,29.457,,,,,,
47,3,1997,11013.5,4045.9,6967.6,63.264,2459.6,1204.8,686.1,4350.5,2617.1,23.763,0.0,0.0,0.0,52.4,2669.5,-787.5,29.5,0.0,1882.0,1882.0,0.0,0.0,1882.0,17.088,0.0,1.21,1.19,1581.513,2617.1,686.1,3303.2,29.992,,,,,,
48,3,1998,11889.3,4323.2,7566.1,63.638,2695.8,1307.4,729.1,4732.3,2833.8,23.835,0.0,0.0,0.0,100.8,2934.6,-855.5,29.15,0.0,2079.1,2079.1,0.0,0.0,2079.1,17.487,0.0,1.34,1.32,1575.076,2833.8,729.1,3562.9,29.967,,,,,,
49,3,1999,12512.7,4620.3,7892.4,63.075,2759.8,1228.8,786.4,4775.0,3117.4,24.914,0.0,0.0,0.0,124.5,3241.9,-907.5,27.99,0.0,2334.4,2334.4,0.0,0.0,2334.4,18.656,0.0,1.52,1.5,1560.958,3117.4,786.4,3903.8,31.199,,,,,,
50,3,2000,13177.6,5149.2,8028.4,60.925,2857.1,1194.0,828.0,4879.1,3149.3,23.899,0.0,0.0,0.0,247.6,3396.9,-951.1,28.0,0.0,2445.8,2445.8,0.0,0.0,2445.8,18.56,0.0,1.59,1.57,1557.655,3149.3,828.0,3977.3,30.182,,,,,,
51,3,2001,13745.916,6238.646,7507.27,54.615,2894.178,1351.024,-138.507,4106.695,3400.575,24.739,0.0,0.0,0.0,415.832,3816.407,-1030.43,27.0,0.0,2785.977,2785.977,0.0,0.0,2785.977,20.268,0.0,1.8,1.78,1565.579,3400.575,827.431,4228.006,30.758,,,,,,
52,3,2002,16285.246,7748.382,8536.864,52.421,3734.88,1577.552,0.0,5312.432,3224.432,19.8,0.0,0.0,0.0,-1341.284,1883.148,-332.758,17.67,0.0,1550.39,1550.39,0.0,0.0,1550.39,9.52,0.0,1.0,0.99,1566.051,3224.432,1168.018,4392.45,26.972,,,,,,
53,3,2003,15279.537,6820.501,8459.036,55.362,3724.855,1474.537,0.0,5199.392,3259.644,21.333,0.0,0.0,0.0,61.343,3320.987,-773.982,23.31,246.698,2793.703,2547.005,246.698,0.0,2793.703,18.284,0.0,1.79,1.78,1573.293,3259.644,1043.623,4303.267,28.164,,,,,,
54,3,2004,17280.333,7774.239,9506.094,55.011,4808.09,1623.752,0.0,6431.842,3074.252,17.791,0.0,0.0,0.0,312.899,3387.151,-882.426,26.05,248.508,2753.233,2504.725,248.508,0.0,2753.233,15.933,0.0,1.76,1.75,1571.869,3074.252,1127.439,4201.691,24.315,,,,,,
